name,city,address,phone,website,rating,totalRatings,latitude,longitude,googlePlaceId,googleMapsUrl,openNow,scrapedAt
ÚNICO - Stay & Residences by AVA,Asunción,"Av. Dr. Felipe Molas López 796, Asunción 1526, Paraguay",0976 888593,http://avarentals.com.py/temporal/,4.7,103,-25.276619099999998,-57.5652809,ChIJu1VBNFCnXZQRqbCwy7kloEQ,https://maps.google.com/?cid=4944993870769336489&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:28.109Z
Divina Tower Experience,Asunción,"Dr. Eduardo López Moreira casi, Asunción 001001, Paraguay",0994 138797,https://www.divinatowerhotel.com/,4.8,67,-25.3012111,-57.582119799999994,ChIJDwJIAO6pXZQRgZukSvwo3Vs,https://maps.google.com/?cid=6619492091353668481&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:28.513Z
Hilton Garden Inn Asunción Aviadores,Asunción,"San Juan XXIII 2588, Asunción 001527, Paraguay",(021) 729 6565,https://www.hilton.com/en/hotels/asupygi-hilton-garden-inn-asuncion-aviadores-del-chaco/?SEO_id=GMB-AMER-GI-ASUPYGI&y_source=1_Mjc3Mjg0NTctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.8,88,-25.281839899999998,-57.562531,ChIJSZMOwAWnXZQRE0pb2cr9Yz8,https://maps.google.com/?cid=4567773494755674643&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:28.615Z
Zentrum Stay & Residences by Ava,Asunción,"Prof. Emiliano Gómez Rios, Asunción 001527, Paraguay",0991 828527,https://avarentals.com.py/temporal/,4,20,-25.281009599999997,-57.566444600000004,ChIJGSSyQ3enXZQRDPEu2Nip3HQ,https://maps.google.com/?cid=8420792152080969996&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:29.424Z
"Cuba linda cápsula alojamiento, habitaciones dobles, A/C Nuevo, Asunción",Asunción,"Av. Eusebio Ayala 1332, Asunción 001235, Paraguay",0992 647429,https://www.facebook.com/share/v/1EsGRBGGND/,4.6,15,-25.304276800000004,-57.6101123,ChIJ3yUXJv2pXZQRhn5R7f2fvuo,https://maps.google.com/?cid=16915133163407244934&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:31.719Z
Residencia Leones de Castilla,Asunción,"Choferes del chaco 763 casi Pacheco Asunción PY 1377, Asunción 001413, Paraguay",0984 863416,,4.3,320,-25.2953613,-57.59214589999999,ChIJR_N_EISoXZQRmNfmsmpkrvc,https://maps.google.com/?cid=17847312782746638232&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:31.920Z
Edificio Navarro,Asunción,"Av. Dr. Fernando de la Mora 580, Asunción 001311, Paraguay",,,5,1,-25.311981199999998,-57.612697999999995,ChIJgwpYVwCpXZQRACBCpD7hTEQ,https://maps.google.com/?cid=4921556151969128448&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:32.122Z
Casa de Mía - Apartamentos,Asunción,"PCJV+XHW, Tte. 2do. Victoriano Alvarenga, Asunción 001525, Paraguay",0981 756818,,5,6,-25.2675259,-57.555999799999995,ChIJ8UZ8FQCnXZQRXh_iE6GB2IM,https://maps.google.com/?cid=9500485942761365342&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:32.223Z
Villamorrahouse,Asunción,"PC4G+VQW, Capitán Juan Dimas Motta 551, Asunción 001408, Paraguay",0981 875517,,5,6,-25.293072799999997,-57.5732154,ChIJYcXbWACpXZQRJNv4ZSL3F8Q,https://maps.google.com/?cid=14130034083009977124&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:32.526Z
La Petite Maison de Diana,Asunción,"San Carlos 896, Asunción 001219, Paraguay",0974 249700,https://www.booking.com/Share-sASXXN,4.7,49,-25.290689,-57.630260799999995,ChIJh7I90DqnXZQRa_4RtYwuuWg,https://maps.google.com/?cid=7546113832504131179&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,True,2026-01-29T15:58:32.728Z
Terrazas Vista Verde,Asunción,"P.º del Yacht y Golf Club, Lambaré 110726, Paraguay",0981 801843,http://www.terrazasvistaverde.com.py/,4.5,156,-25.366987500000004,-57.636329999999994,ChIJJfEInECpXZQRe1HlmCdpPYY,https://maps.google.com/?cid=9673003193451499899&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,True,2026-01-29T15:58:34.854Z
Andares del Agua,Asunción,"Juan S Bogarin 1251 esq, Asunción 001414, Paraguay",0986 565686,http://www.andaresdelagua.com.py/,4.5,657,-25.3020251,-57.5877458,ChIJSRmGI46oXZQR4uVXLoMQYt8,https://maps.google.com/?cid=16096446173779846626&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:35.459Z
Motel Cataratas,Ciudad del Este,"7000, Avenida Monseñor Rodriguez, Cd. del Este 100179, Paraguay",0984 140328,https://www.facebook.com/MotelCataratasCDE/,3.9,45,-25.496803399999997,-54.6823547,ChIJCU5Y6M6F9pQRz0ILrZwRKio,https://maps.google.com/?cid=3038260263230587599&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:36.926Z
Motel Star,Ciudad del Este,"R. Cegonhas, 100 - Portal da Foz, Foz do Iguaçu - PR, 85859-590, Brasil",(45) 3526-8604,,3.8,10,-25.503961999999998,-54.5381326,ChIJPd39gbyQ9pQRa64ovyv9PdI,https://maps.google.com/?cid=15149543085876751979&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:37.028Z
Panorama Inn,Ciudad del Este,"Edificio Panorama 1, Pampliega, Cd. del Este 100137, Paraguay",(061) 500 110,,4.1,362,-25.515006200000002,-54.613622899999996,ChIJRU6a6P6P9pQRJcQy51-4oN0,https://maps.google.com/?cid=15969967000696046629&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:40.559Z
SAK Residencial Paraguay,Ciudad del Este,"Calle, G923+P9Q Foz de Yguazu, Cd. del Este 100125, Paraguay",0983 532946,,4.7,20,-25.4981546,-54.6465112,ChIJsdp8JAuF9pQRJu4EBJJThzA,https://maps.google.com/?cid=3496855522274242086&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:40.964Z
Ñande renda,Ciudad del Este,"G8W4+Q3R, Cd. del Este 100109, Paraguay",,,5,7,-25.4530195,-54.6948722,ChIJv5NqdwCF9pQRaP28XyHP69o,https://maps.google.com/?cid=15774929862042385768&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:41.166Z
Apartamento Centro Paraguay,Ciudad del Este,"Jebay Center, F9QR+W4H, Cd. del Este 7000, Paraguay",,,4.5,4,-25.510195,-54.609646,ChIJI1wBTVWF9pQRAqMJA_kjQhY,https://maps.google.com/?cid=1603883969702109954&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,True,2026-01-29T15:58:43.506Z
Edificio Camino Del Este,Ciudad del Este,"Emiliano R. Fernandez, sn Ciudad del Este PY, Ciudad del Este 7000, Paraguay",(061) 514 149,,4.5,112,-25.5074765,-54.6102086,ChIJ5a7_xVSF9pQR41pqCxZeSnc,https://maps.google.com/?cid=8595786287563823843&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,True,2026-01-29T15:58:45.887Z
Tulum Suites,Ciudad del Este,"G9P6+6HV, Cd. del Este 100117, Paraguay",,,4.3,12,-25.4635879,-54.6388411,ChIJ28FUKQCF9pQR1vFyr5YtRIk,https://maps.google.com/?cid=9891080806824341974&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:46.088Z
Abbey Road Inn,San Lorenzo,"Ingavi casi, Fernando de la Mora 2300, Paraguay",0986 125776,,5,41,-25.331457099999998,-57.5309334,ChIJEU_-N1avXZQR-7zl92YlkXs,https://maps.google.com/?cid=8903939062464101627&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:50.523Z
CASA Naranja,San Lorenzo,"Italo Paraguayo entre Anuncio Diaz y, JGP6+FXQ Bernardo Avalos, San Lorenzo 111465, Paraguay",06 14525210,,5,1,-25.3637986,-57.487522,ChIJf95QhPutXZQRVumgtoIgGYo,https://maps.google.com/?cid=9951020597433657686&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:50.624Z
LFA House,San Lorenzo,"Nilo Meyer 342, San Lorenzo 111451, Paraguay",0961 392582,,4.6,11,-25.3540688,-57.501237399999994,ChIJR8fNOgCtXZQR7LTnjUcOKEQ,https://maps.google.com/?cid=4911191094133765356&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:50.725Z
Dynasty Inn Motel,San Lorenzo,"Campo Vía, Capiatá 110208, Paraguay",0983 604445,,3.8,50,-25.3460109,-57.47009380000001,ChIJGdpRecWtXZQR0_lc-eqoUiY,https://maps.google.com/?cid=2761455248690969043&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:50.928Z
Pension La Piña Dorada,San Lorenzo,"Santa Librada con, JF96+X6C, Divino Niño Jesús, Ñemby 2540, Paraguay",01578 0933884,,4.6,25,-25.3800743,-57.539483,ChIJu7-6uFKtXZQRkxYOI9rpKpI,https://maps.google.com/?cid=10532487801659594387&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:51.130Z
Vogel House,San Lorenzo,"Obrero y, Lúke 110940, Paraguay",0971 223232,,3.8,4,-25.290353099999997,-57.532177000000004,ChIJuanxagCvXZQRd86-PRs9VgE,https://maps.google.com/?cid=96331629244370551&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:53.124Z
Casa Boutique Bèla Sofía,San Lorenzo,"Ybyra Pyta 950 595, Asunción 0234, Paraguay",0983 147935,https://casaboutiquebelasofia.com.py/,4.6,168,-25.3206061,-57.588521300000004,ChIJ_2n-VfapXZQR1UsgAxYILLE,https://maps.google.com/?cid=12766587934323264469&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:55.352Z
Saiyú Aeropuerto,Luque,"25.22584240600266 57, Luque 0901, Paraguay",0994 177111,,4.9,37,-25.2258674,-57.508083,ChIJz42yvRulXZQRNMvRyS-oiNw,https://maps.google.com/?cid=15891136208379693876&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:57.764Z
Chalet mi Republica - Luque,Luque,"Benjamin Britez casi, Luque 110907, Paraguay",0992 446421,https://wa.me/message/D223MAO77RSRD1,4.7,13,-25.2374393,-57.4449529,ChIJmWHBzzy7XZQRRpnGeDRZ90g,https://maps.google.com/?cid=5257769171877796166&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:58.067Z
Mi Tierra B&B,Luque,"PFCM+MG9, Doutor Paiva, Lúke 110946, Paraguay",0984 533384,,5,2,-25.2783385,-57.51613510000001,ChIJMyAvNgCvXZQReLQyT55zQIs,https://maps.google.com/?cid=10034147093552215160&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:58.370Z
La escala aeropuerto bed and breakfast 中途停留住宿、早餐和床位,Luque,"Silvio Pettirossi, Luque 110916, Paraguay",0976 170263,,3.5,14,-25.2389579,-57.509967800000005,ChIJ82ZrWQCnXZQRburY9RE9Vok,https://maps.google.com/?cid=9896164378541615726&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:58.472Z
SOCRA Trinidad,Luque,"Pasaje Santa Ana 405 casi, Trinidad 001521, Paraguay",0981 402491,http://socrahoteles.com/,3.8,5,-25.2611866,-57.570795499999996,ChIJARCEPj6nXZQRJblaaD1GsO4,https://maps.google.com/?cid=17199324206485649701&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:58.572Z
Satori Zen Club,Luque,"Cantos del Bosque 1312, Itauguá 110617, Paraguay",0976 523553,http://www.satorizenclub.com/,4.8,406,-25.3423932,-57.3671789,ChIJ2dyangW1XZQR8i1MEQa51Jk,https://maps.google.com/?cid=11084688018576780786&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:59:00.119Z
Mendizza House,Luque,"2ndo. Teniente Eladio Escobar / Pedro Martinez 3320, Asunción 1749, Paraguay",0984 501030,,5,7,-25.2796752,-57.549442,ChIJ66-nfVavXZQRlMeWqaJsvko,https://maps.google.com/?cid=5385861650267424660&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:59:00.222Z
Doña Nelly,Luque,"Tte. Manuel Pino González 3531, Asunción 001522, Paraguay",0981 503011,,4.7,27,-25.265052999999998,-57.5494421,ChIJESd1rpOlXZQRWOc3Q3qKVfM,https://maps.google.com/?cid=17534072981955274584&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:59:02.527Z
Villa Dálmata,Luque,"Av. Nanawa, Luque 110939, Paraguay",0994 335000,http://www.villadalmata.com/,4.3,352,-25.284964799999997,-57.52205749999999,ChIJi77oU26vXZQRZrBGVhSAw3Y,https://maps.google.com/?cid=8557824541769248870&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,True,2026-01-29T15:59:02.628Z
Quinta Ykua Satí,Luque,"Mayor Perenciollo Merlo 2150, C/Dr. Bestard, Asunción 2150, Paraguay",0981 407293,https://www.quintaykuasati.com.py/,4.5,1363,-25.284036,-57.553267,ChIJCXu3oFSvXZQRaI9UM9AS-TI,https://maps.google.com/?cid=3672987656521027432&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,True,2026-01-29T15:59:02.831Z
Mangoty Apartamento,Luque,"Mangoty esquina, Luque 110917, Paraguay",0985 220804,,4.4,37,-25.2541984,-57.511336400000005,ChIJ9Xvo92ulXZQR8Kk5iFG1QmI,https://maps.google.com/?cid=7080420925962299888&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,True,2026-01-29T15:59:02.931Z
Ramada Suites By Wyndham Asuncion Aeropuerto,Luque,"Pedro Juan Caballero 437, Mariano Roque Alonso 111007, Paraguay",0994 818300,https://www.wyndhamhotels.com/ramada/mariano-roque-alonso-paraguay/ramada-suites-asuncion-aeropuerto/overview,4.5,36,-25.223703099999998,-57.5187497,ChIJd2jOJk6kXZQRoo2vyLfy8mw,https://maps.google.com/?cid=7850603971620081058&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:59:04.237Z
Quinta La Paloma,Luque,"Ruta Aregua Patiño, Itauguá 0000, Paraguay",0981 695553,,4.9,199,-25.3405533,-57.35813839999999,ChIJF5_9wgW1XZQR7IcWC0Xts-E,https://maps.google.com/?cid=16263603560159545324&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,True,2026-01-29T15:59:04.540Z
El Jardín Alemán,Capiatá,"Ruta II Km 24, PY02 2601, Capiatá 110225, Paraguay",0981 283205,,4.4,1601,-25.374949299999997,-57.407497000000006,ChIJe_Qq3gWzXZQRaWBEnhx7WPc,https://maps.google.com/?cid=17823130888163319913&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,True,2026-01-29T15:59:07.410Z
"Hoospedaje Casa Amistad, Aregua",Capiatá,"Hermanas Dominicas 917, Areguá 2000, Paraguay",0983 626259,,5,7,-25.3070144,-57.382578200000005,ChIJS1wqFU-xXZQRzPmT7LyzCao,https://maps.google.com/?cid=12252521885242489292&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:59:09.891Z
Houze Stay & Residences by Ava,Capiatá,"Dr. Cirilo Caceres Zorrilla 1053, Asunción 001527, Paraguay",0994 397613,,4.5,79,-25.2803842,-57.56702229999999,ChIJ-e1J0_6nXZQRp3YBRccZWdA,https://maps.google.com/?cid=15013059176463169191&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:59:11.680Z
Holiday Inn Express Asuncion Aviadores by IHG,Capiatá,"Av. Aviadores del Chaco 2935/55, Asunción 1726, Paraguay",(021) 657 9000,https://www.ihg.com/holidayinnexpress/hotels/us/en/asuncion/asuaa/hoteldetail?cm_mmc=GoogleMaps-_-EX-_-PY-_-ASUAA,4.8,1872,-25.279669000000002,-57.558287299999996,ChIJidgpA_apXZQRjb95_P4f_TY,https://maps.google.com/?cid=3962358427173896077&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:59:11.983Z
La casita del viajero,Fernando de la Mora,"Mayor José Lamas Carísimo 620, Asunción 001417, Paraguay",,,4.5,17,-25.307865,-57.563286,ChIJwedMGwCpXZQRaZJvIoy5WDA,https://maps.google.com/?cid=3483738323295375977&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:59:21.140Z
Nueva Alborada Lodging House,Fernando de la Mora,"Tte. Rivarola 2109, Fernando de la Mora 2300, Paraguay",(021) 502 338,,4.6,56,-25.3387305,-57.5724684,ChIJiYNH-jypXZQRQhMZE6tbigs,https://maps.google.com/?cid=831577871521223490&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,True,2026-01-29T15:59:21.342Z
Casa Garay Guest House,Fernando de la Mora,"General Eugenio Alejandrino Garay, PC69+VCC, &, Asunción 001411, Paraguay",0981 150030,https://www.instagram.com/casagarayhotel?igsh=MWJma2todTF5enZ0bA==,4.8,29,-25.2878035,-57.5814809,ChIJtyeYWACpXZQRyo4p6c3eidQ,https://maps.google.com/?cid=15315016983811559114&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:59:22.705Z
Casita Feliz,Limpio,"General Elizardo Aquino, Limpio 110822, Paraguay",0982 534913,,4.1,183,-25.182029399999998,-57.48123589999999,ChIJAQDAuRy9XZQRW-_p5MCyc4o,https://maps.google.com/?cid=9976514141099781979&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:59:25.693Z
Ponderosa Inn,Limpio,"Monseñor Palacios Mariano Roque Alonso, Mariano Roque Alonso 1209, Paraguay",0982 972502,https://www.instagram.com/ponderosa.inn/,4.3,168,-25.192131300000003,-57.5440945,ChIJd7Mc7wSkXZQR7tdEv1PYBig,https://maps.google.com/?cid=2884230465580226542&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:59:27.085Z
Casa Puente,Limpio,"Av Paseo de Fatima 464, Mariano Roque Alonso 111014, Paraguay",0984 841443,http://www.casa-puente.com/,4.7,98,-25.195039599999998,-57.54819990000001,ChIJuQyG8eClXZQRodm7m0wXr0Y,https://maps.google.com/?cid=5093315321377053089&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,True,2026-01-29T15:59:27.186Z
"Vivi Simple, Tiny Houses",Limpio,"Luque 110901, Paraguay",0981 810750,http://www.tinyhouses.com.py/,4.7,63,-25.235989,-57.506134499999995,ChIJQYKZ0NylXZQR7rsEj18b6Hw,https://maps.google.com/?cid=9000473952535231470&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:59:27.287Z
Motel Climax,Ñemby,"JCJQ+63P, Ñemby 111201, Paraguay",0982 813963,,4,492,-25.369408699999997,-57.56230300000001,ChIJKWTR8_yrXZQRKyYDZ6q0GXg,https://maps.google.com/?cid=8654146802934818347&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:59:31.335Z
